hotkey,daily reward,total_stake,APR,stake share
5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,65.87,106045.79,22.67,2.17
5FKstHjZkh4v3qAMSBa1oJcHCLjxYZ8SNTSz1opTv4hR7gVB,153.07,264043.96,21.16,5.4
5GsL9zNp1CdKmKSYBGjeF9kGReRpS8KdQv2yJ3mHVwKq2YCq,15.91,27831.52,20.87,0.57
5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,14.87,26190.16,20.72,0.54
5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,58.96,103900.71,20.71,2.13
5FFM6Nvvm78GqyMratgXXvjbqZPi7SHgSQ81nyS96jBuUWgt,22.04,39396.85,20.42,0.81
5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,26.89,48092.8,20.41,0.98
5Hddm3iBFD2GLT5ik7LZnT3XJUnRnN8PoeCFgGQgawUVKNm8,353.7,639206.32,20.2,13.08
5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,154.21,279459.0,20.14,5.72
5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,166.4,304940.39,19.92,6.24
5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,65.04,119694.31,19.83,2.45
5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,213.35,394157.81,19.76,8.06
5HbLYXUBy1snPR8nfioQ7GoA9x76EELzEq9j7F32vWUQHm1x,98.97,183569.34,19.68,3.76
5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,667.74,1248981.82,19.51,25.55
5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,137.07,256614.12,19.5,5.25
5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,25.4,50036.03,18.53,1.02
5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,272.98,554500.23,17.97,11.34
5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A,15.86,32869.55,17.61,0.67
5DnXm2tBGAD57ySJv5SfpTfLcsQbSKKp6xZKFWABw3cYUgqg,13.55,28901.55,17.11,0.59
