hotkey,APR,stake share
5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,19.01,2.46
5FKstHjZkh4v3qAMSBa1oJcHCLjxYZ8SNTSz1opTv4hR7gVB,18.25,5.46
5GsL9zNp1CdKmKSYBGjeF9kGReRpS8KdQv2yJ3mHVwKq2YCq,18.23,0.58
5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,18.19,2.15
5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,18.16,0.54
5FFM6Nvvm78GqyMratgXXvjbqZPi7SHgSQ81nyS96jBuUWgt,17.99,0.81
5Hddm3iBFD2GLT5ik7LZnT3XJUnRnN8PoeCFgGQgawUVKNm8,17.79,12.45
5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,17.67,5.25
5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,17.66,0.97
5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,17.54,2.34
5HbLYXUBy1snPR8nfioQ7GoA9x76EELzEq9j7F32vWUQHm1x,17.42,3.76
5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,17.34,5.65
5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,17.22,6.65
5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,17.21,8.97
5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,16.82,26.26
5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A,16.7,0.67
5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,16.62,2.41
5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,15.65,0.93
